plan_name,fy,latest_return
Alabama ERS,2023,
Alaska PERS,2023,
Arizona SRS,2023,
Arkansas PERS,2023,
California PERF,2023,0.058
Colorado State,2023,
Connecticut SERS,2023,
Contra Costa County,2023,
DC Police & Fire,2023,
Florida RS,2023,0.075
Hawaii ERS,2023,0.026
Idaho PERS,2023,0.096
Illinois SERS,2023,
Illinois Universities,2023,
Indiana PERF,2023,0.022
Indiana Teachers,2023,
Iowa PERS,2023,0.054
Kansas PERS,2023,0.074
Kentucky County,2023,0.1025
Kentucky ERS,2023,0.0825
Kentucky Teachers,2023,0.106
LA County ERS,2023,
Louisiana SERS,2023,0.117
Louisiana Teachers,2023,0.068
Maine State and Teacher,2023,0.05
Maryland Teachers,2023,
Massachusetts SRS,2023,
Michigan Municipal,2023,
Michigan Public Schools,2023,0.052
Michigan SERS,2023,
Minnesota GERF,2023,
Minnesota State Employees,2023,
Minnesota Teachers,2023,
Mississippi PERS,2023,0.078
Missouri DOT and Highway,2023,
Nevada Police Officer and Firefighter,2023,
New Hampshire RS,2023,0.082
New Jersey PERS,2023,
New Jersey Police & Fire,2023,
New Mexico PERA,2023,0.042
New York City ERS,2023,
New York City Teachers,2023,
North Carolina Local Government,2023,
North Carolina Teachers and State Employees,2023,0.053
North Dakota PERS,2023,
Ohio PERS,2023,0.074
Ohio Police & Fire,2023,
Ohio Teachers,2023,0.076
Oklahoma PERS,2023,0.109
Oregon PERS,2023,
Pennsylvania School Employees,2023,
Pennsylvania State ERS,2023,
Rhode Island ERS,2023,0.089
San Diego County,2023,
San Francisco City & County,2023,
South Carolina RS,2023,0.068
South Dakota RS,2023,0.055
Texas ERS,2023,
Texas Teachers,2023,
TN State and Teachers,2023,
University of California,2023,
Vermont State Employees,2023,
Vermont Teachers,2023,
Virginia RS,2023,0.061
Washington PERS 2/3,2023,
Washington School Employees Plan 2/3,2023,
Wisconsin RS,2023,
Connecticut Municipal,2023,
Louisiana Municipal Police,2023,0.076
Louisiana Parochial Employees,2023,
Minnesota Police and Fire,2023,
Utah Public Safety,2023,
Alameda County ERS,2023,
Kern County ERS,2023,
Orange County ERS,2023,0.067
Sacramento County ERS,2023,0.061
San Diego City ERS,2023,
Cook County ERS,2023,
Boston RS,2023,
Milwaukee City ERS,2023,
Philadelphia Municipal,2023,
Nashville-Davidson ERS,2023,
Jacksonville ERS,2023,
Omaha School,2023,
Miami Fire and Police,2023,
Birmingham RRS,2023,
Omaha Police and Fire,2023,
Charleston (WV) Firemen,2023,
Des Moines Water Works,2023,
Delaware County and Municipal Employees,2023,
Atlanta Education,2023,
Chicago Teachers,2023,0.087
Los Angeles Fire and Police,2023,
St. Paul Teachers,2023,
Duluth Teachers,2023,
California Teachers,2023,0.063
North Dakota Teachers,2023,
Massachusetts Teachers,2023,
Pittsburgh Municipal,2023,
Dallas Police and Fire,2023,
Detroit General RS,2023,
Minneapolis ERF,2023,
New York State Teachers,2023,
NY State & Local ERS,2023,
Chicago Municipal,2023,
Chicago Police,2023,
Little Rock Firemen’s Fund,2023,
New York City Educational,2023,
Providence ERS,2023,
Atlanta Police,2023,0.098
Baltimore City Employees,2023,
Atlanta ERS,2023,
Seattle ERS,2023,0.073
St. Louis Police,2023,
Colorado Municipal,2023,
Colorado School,2023,
Cincinnati ERS,2023,
Chicago Fire,2023,
Pittsburgh Fire,2023,
Pittsburgh Police,2023,
Chicago Laborers,2023,
Arkansas Teachers,2023,
Houston Firefighters,2023,
Montana Teachers,2023,
New Mexico Educational,2023,0.056
Ohio School Employees,2023,
Los Angeles ERS,2023,0.068
Milwaukee County ERS,2023,
Jacksonville Fire and Police,2023,
Austin Fire,2023,
Los Angeles Water and Power,2023,0.075
Alabama Teachers,2023,
Connecticut Teachers,2023,
Illinois Teachers,2023,
New York City Police,2023,
Austin ERS,2023,
Illinois Municipal,2023,
Maryland PERS,2023,0.031
West Virginia Teachers,2023,
New York City Fire,2023,
Detroit Police and Fire,2023,
Maine Local,2023,0.047
Georgia Teachers,2023,
Oklahoma Teachers,2023,0.08
Dallas ERS,2023,
Houston Municipal,2023,
St. Louis School Employees,2023,
Kansas City (MO) Schools,2023,
Fairfax County Police,2023,
St. Louis Firemen,2023,
Denver Schools,2023,
Montana PERS,2023,
Nebraska Schools,2023,
Missouri Teachers,2023,
Louisiana Schools,2023,
Greenville Fire Pension Plan,2023,
Kansas City (MO) Police,2023,
Nevada Regular Employees,2023,0.091
Texas Municipal,2023,
Hartford MERF,2023,
New Orleans ERS,2023,
New Castle County Pension,2023,
Charlotte (NC) Firefighters' RS,2023,
Houston Police,2023,0.07
Portland Fire and Police,2023,
Wichita ERS,2023,
Georgia ERS,2023,
Wyoming Public Employees,2023,
Omaha ERS,2023,
Rhode Island Municipal,2023,
Phoenix ERS,2023,0.054
Baton Rouge City-Parish ERS,2023,
Tucson Supplemental RS,2023,
Kansas City (MO) Fire,2023,
Burlington (VT) ERS,2023,
Alaska Teachers,2023,
New Jersey Teachers,2023,
Fairfax County (VA) ERS,2023,
Missouri State Employees,2023,
Sioux Falls ERS,2023,
Oklahoma City ERS,2023,
St. Louis Employees,2023,
West Virginia PERS,2023,
South Carolina Police,2023,
Baltimore Fire and Police,2023,0.069
Kansas City (MO) ERS,2023,
Denver Employees,2023,
Utah Noncontributory,2023,
Marion County Sheriff Retirement Plan,2023,
Missouri PEERS,2023,0.062
Montgomery County (MD) ERS,2023,
Jersey City Municipal Employees,2023,
Wichita Police and Fire,2023,
NY State & Local Police & Fire,2023,
Bismarck Employees' Pension Plan,2023,
Oklahoma Municipal Employees,2023,
Missouri Local,2023,0.043
Texas County & District,2023,
Knox County Teachers' DB Plan,2023,
Arizona Public Safety,2023,0.079
Arizona State Corrections Officers,2023,
Anchorage Police and Fire,2023,
Louisiana Municipal Employees,2023,0.092
Delaware State Employees,2023,
TN Political Subdivisions,2023,
Fairfax County Schools,2023,
Pennsylvania Municipal,2023,
Lexington-Fayette County Police and Fire,2023,
Manchester ERS,2023,
Fairfax County Uniformed,2023,
Vermont Municipal Employees,2023,
Washington LEOFF Plan 2,2023,
Washington Teachers Plan 2/3,2023,
Atlanta Fire,2023,0.09
DC Teachers,2023,
Texas LECOS,2023,
Austin Police,2023,
Oklahoma Police,2023,0.029
Oklahoma Fire,2023,0.091
Iowa Municipal Fire and Police,2023,0.06